,Five_grams,Frequency
4603,"('PR_PRP', 'N_NN', 'V_VM_VINF', 'N_NN', 'V_VM_VNF')",3
4604,"('N_NN', 'N_NN', 'PSP', 'V_VM_VINF', 'QT_QTF')",3
4605,"('N_NN', 'PSP', 'V_VM_VINF', 'QT_QTF', 'N_NN')",3
4606,"('RD_PUNC', 'JJ', 'N_NN', 'V_VM_VNF', 'V_VAUX')",3
4607,"('N_NN', 'N_NN', 'RD_PUNC', 'V_VM_VNF', 'PR_PRP')",3
4608,"('V_VM_VINF', 'N_NN', 'JJ', 'N_NN', 'RD_PUNC')",3
4609,"('V_VM_VNF', 'V_VM_VNF', 'PR_PRP', 'N_NN', 'V_VM_VNF')",3
4610,"('V_VM_VNF', 'V_VAUX', 'RD_PUNC', 'N_NN', 'V_VM_VNF')",3
4611,"('RD_PUNC', 'N_NN', 'QT_QTF', 'V_VM_VF', 'RD_PUNC')",3
4612,"('N_NN', 'V_VM_VNF', 'N_NN', 'V_VM_VNF', 'DM_DMQ')",3
4613,"('PR_PRP', 'V_VM_VNF', 'DM_DMD', 'N_NN', 'RD_PUNC')",3
4614,"('N_NN', 'RD_PUNC', 'RP_RPD', 'N_NN', 'N_NN')",3
4615,"('V_VM_VNF', 'PR_PRP', 'V_VM_VNF', 'V_VM_VNF', 'V_VM_VNF')",3
4616,"('V_VM_VNF', 'RD_PUNC', 'CC_CCS_UT', 'PR_PRP', 'V_VM_VNF')",3
4617,"('V_VM_VNF', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'RD_PUNC')",3
4618,"('V_VM_VNF', 'RD_PUNC', 'CC_CCD', 'N_NNP', 'V_VM_VF')",3
4619,"('RD_PUNC', 'CC_CCD', 'N_NNP', 'V_VM_VF', 'RD_PUNC')",3
4620,"('DM_DMR', 'N_NN', 'V_VM_VNF', 'V_VM_VNF', 'RD_PUNC')",3
4621,"('RD_PUNC', 'V_VM_VNF', 'RD_PUNC', 'V_VM_VF', 'RD_PUNC')",3
4622,"('V_VM_VNF', 'V_VM_VNF', 'RD_PUNC', 'CC_CCS_UT', 'N_NN')",3
4623,"('RD_PUNC', 'PR_PRP', 'N_NST', 'V_VM_VF', 'RD_PUNC')",3
4624,"('RD_PUNC', 'RP_INJ', 'RD_PUNC', 'PR_PRP', 'PR_PRP')",3
4625,"('V_VM_VNF', 'RD_PUNC', 'CC_CCS_UT', 'V_VM_VNF', 'N_NN')",3
4626,"('N_NNP', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'V_VM_VNF')",3
4627,"('RD_PUNC', 'PR_PRP', 'N_NN', 'DM_DMQ', 'V_VM_VNF')",3
4628,"('RD_PUNC', 'PR_PRP', 'V_VM_VNF', 'RD_PUNC', 'V_VM_VNF')",3
4629,"('QT_QTF', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'V_VM_VNF')",3
4630,"('N_NN', 'DM_DMD', 'N_NN', 'PR_PRP', 'V_VM_VNF')",3
4631,"('RD_PUNC', 'DM_DMD', 'RD_PUNC', 'V_VM_VNF', 'RD_PUNC')",3
4632,"('DM_DMD', 'RD_PUNC', 'V_VM_VNF', 'RD_PUNC', 'RD_PUNC')",3
4633,"('CC_CCS_UT', 'V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VF')",3
4634,"('N_NNP', 'N_NNP', 'RB', 'V_VM_VF', 'RD_PUNC')",3
4635,"('DM_DMQ', 'N_NN', 'V_VM_VNF', 'CC_CCD', 'N_NN')",3
4636,"('N_NN', 'CC_CCD', 'RD_PUNC', 'N_NN', 'CC_CCD')",3
4637,"('RD_PUNC', 'CC_CCD', 'N_NN', 'QT_QTC', 'PSP')",3
4638,"('NN', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN')",3
4639,"('N_NN', 'N_NN', 'N_NNP', 'RD_PUNC', 'QT_QTC')",3
4640,"('N_NNP', 'N_NN', 'RD_PUNC', 'RP_RPD', 'PSP')",3
4641,"('N_NN', 'RD_PUNC', 'RP_RPD', 'PSP', 'N_NNP')",3
4642,"('V_VM_VNF', 'DM_DMR', 'N_NN', 'V_VM_VNF', 'V_VM_VNF')",3
4643,"('N_NST', 'N_NN', 'PR_PRP', 'V_VM_VINF', 'N_NN')",2
4644,"('QT_QTC', 'RD_SYM', 'N_NN', 'JJ', 'N_NN')",2
4645,"('RD_SYM', 'N_NN', 'JJ', 'N_NN', 'V_VM_VNF')",2
4646,"('DM_DMD', 'N_NN', 'DM_DMD', 'N_NN', 'V_VM_VINF')",2
4647,"('PR_PRP', 'V_VM_VINF', 'N_NN', 'N_NN', 'JJ')",2
4648,"('JJ', 'N_NN', 'N_NN', 'V_VM_VINF', 'JJ')",2
4649,"('N_NN', 'N_NN', 'QT_QTF', 'N_NN', 'CC_CCD')",2
4650,"('N_NN', 'V_VM_VINF', 'N_NN', 'N_NN', 'RP_RPD')",2
4651,"('V_VM_VINF', 'N_NN', 'N_NN', 'RP_RPD', 'N_NN')",2
4652,"('N_NN', 'N_NN', 'QT_QTF', 'N_NN', 'V_VM_VINF')",2
4653,"('QT_QTF', 'N_NN', 'V_VM_VINF', 'N_NN', 'V_VM_VNF')",2
4654,"('V_VM_VNG', 'JJ', 'N_NN', 'N_NN', 'N_NN')",2
4655,"('V_VM_VNF', 'N_NN', 'N_NN', 'RP_RPD', 'QT_QTC')",2
4656,"('N_NN', 'N_NN', 'RP_RPD', 'N_NN', 'QT_QTC')",2
4657,"('QT_QTC', 'N_NN', 'V_VM_VNF', 'N_NN', 'RP_INTF')",2
4658,"('N_NN', 'V_VM_VNF', 'N_NN', 'RP_INTF', 'N_NN')",2
4659,"('V_VM_VNF', 'N_NN', 'RP_INTF', 'N_NN', 'RD_PUNC')",2
4660,"('QT_QTC', 'N_NST', 'N_NN', 'V_VM_VF', 'RD_PUNC')",2
4661,"('N_NN', 'V_VM_VINF', 'N_NN', 'PSP', 'RP_RPD')",2
4662,"('V_VM_VNG', 'RD_PUNC', 'N_NN', 'V_VM_VNG', 'JJ')",2
4663,"('RD_PUNC', 'N_NN', 'V_VM_VNG', 'JJ', 'N_NN')",2
4664,"('PR_PRP', 'N_NN', 'V_VM_VINF', 'N_NN', 'PSP')",2
4665,"('RD_PUNC', 'N_NN', 'N_NN', 'N_NST', 'V_VM_VINF')",2
4666,"('N_NN', 'QT_QTF', 'N_NN', 'N_NN', 'PSP')",2
4667,"('QT_QTC', 'PSP', 'DM_DMD', 'N_NN', 'N_NN')",2
4668,"('DM_DMD', 'N_NN', 'N_NN', 'RB', 'V_VM_VF')",2
4669,"('V_VM_VNF', 'N_NN', 'QT_QTF', 'V_VM_VF', 'RD_PUNC')",2
4670,"('QT_QTF', 'N_NN', 'V_VM_VNF', 'JJ', 'N_NN')",2
4671,"('QT_QTC', 'QT_QTC', 'JJ', 'N_NN', 'N_NN')",2
4672,"('JJ', 'N_NN', 'N_NN', 'RP_RPD', 'PR_PRP')",2
4673,"('N_NST', 'DM_DMD', 'N_NN', 'JJ', 'N_NN')",2
4674,"('QT_QTC', 'RD_PUNC', 'JJ', 'N_NN', 'V_VM_VINF')",2
4675,"('N_NN', 'V_VM_VNF', 'PSP', 'N_NN', 'V_VM_VF')",2
4676,"('N_NN', 'N_NN', 'N_NN', 'N_NST', 'V_VM_VINF')",2
4677,"('N_NN', 'N_NST', 'V_VM_VINF', 'N_NN', 'V_VM_VINF')",2
4678,"('QT_QTC', 'RD_PUNC', 'DM_DMR', 'N_NN', 'QT_QTC')",2
4679,"('RD_PUNC', 'DM_DMR', 'N_NN', 'QT_QTC', 'N_NN')",2
4680,"('DM_DMR', 'N_NN', 'QT_QTC', 'N_NN', 'V_VM_VNF')",2
4681,"('DM_DMD', 'N_NN', 'N_NN', 'QT_QTC', 'V_VM_VF')",2
4682,"('N_NN', 'V_VM_VINF', 'N_NN', 'RD_PUNC', 'DM_DMD')",2
4683,"('V_VM_VINF', 'N_NN', 'RD_PUNC', 'DM_DMD', 'N_NN')",2
4684,"('RD_PUNC', 'DM_DMD', 'N_NN', 'V_VM_VINF', 'N_NN')",2
4685,"('V_VM_VINF', 'N_NN', 'V_VM_VNF', 'RD_PUNC', 'DM_DMD')",2
4686,"('V_VM_VNF', 'RD_PUNC', 'DM_DMD', 'N_NN', 'RB')",2
4687,"('V_VM_VF', 'RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF')",2
4688,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NST')",2
4689,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NST', 'RD_PUNC')",2
4690,"('RD_PUNC', 'N_NST', 'RD_PUNC', 'N_NN', 'N_NN')",2
4691,"('QT_QTF', 'N_NST', 'N_NN', 'N_NN', 'V_VM_VF')",2
4692,"('JJ', 'N_NN', 'N_NST', 'N_NN', 'RD_PUNC')",2
4693,"('RD_SYM', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VINF')",2
4694,"('RD_SYM', 'V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VF')",2
4695,"('N_NN', 'RD_PUNC', 'N_NN', 'RD_PUNC', 'N_NST')",2
4696,"('CC_CCD', 'RD_PUNC', 'PR_PRP', 'N_NN', 'N_NN')",2
4697,"('N_NN', 'V_VM_VNF', 'N_NST', 'V_VM_VNF', 'N_NST')",2
4698,"('RB', 'N_NN', 'V_VM_VNG', 'V_VM_VF', 'RD_PUNC')",2
4699,"('N_NN', 'N_NN', 'N_NN', 'RD_PUNC', 'QT_QTF')",2
4700,"('QT_QTF', 'RD_PUNC', 'N_NN', 'N_NN', 'RD_PUNC')",2
4701,"('N_NN', 'N_NN', 'RD_PUNC', 'CC_CCS_UT', 'V_VM_VINF')",2
4702,"('V_VM_VINF', 'N_NN', 'PSP', 'N_NN', 'V_VM_VF')",2
4703,"('N_NN', 'RD_PUNC', 'QT_QTC', 'N_NN', 'QT_QTF')",2
4704,"('N_NN', 'QT_QTF', 'RP_CL', 'N_NN', 'V_VM_VNF')",2
4705,"('QT_QTF', 'RP_CL', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4706,"('RP_CL', 'N_NN', 'V_VM_VNF', 'N_NN', 'N_NN')",2
4707,"('N_NN', 'DM_DMQ', 'QT_QTC', 'N_NN', 'V_VM_VNF')",2
4708,"('DM_DMQ', 'QT_QTC', 'N_NN', 'V_VM_VNF', 'PR_PRP')",2
4709,"('RD_PUNC', 'RB', 'V_VM_VNF', 'QT_QTC', 'N_NN')",2
4710,"('N_NN', 'V_VM_VNF', 'N_NN', 'RP_RPD', 'PR_PRP')",2
4711,"('V_VM_VNF', 'N_NN', 'RP_RPD', 'PR_PRP', 'V_VM_VF')",2
4712,"('DM_DMD', 'N_NN', 'RP_RPD', 'RB', 'V_VM_VINF')",2
4713,"('N_NN', 'RP_RPD', 'RB', 'V_VM_VINF', 'N_NN')",2
4714,"('RP_RPD', 'RB', 'V_VM_VINF', 'N_NN', 'V_VM_VF')",2
4715,"('N_NN', 'QT_QTC', 'JJ', 'N_NN', 'N_NN')",2
4716,"('RD_SYM', 'JJ', 'N_NN', 'N_NN', 'N_NN')",2
4717,"('N_NN', 'RP_NEG', 'CC_CCD', 'N_NN', 'N_NN')",2
4718,"('N_NN', 'V_VM_VNG', 'RP_RPD', 'N_NN', 'N_NN')",2
4719,"('RP_RPD', 'N_NN', 'N_NN', 'V_VM_VINF', 'N_NN')",2
4720,"('DM_DMR', 'JJ', 'N_NN', 'N_NN', 'V_VM_VNF')",2
4721,"('JJ', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VF')",2
4722,"('RD_SYM', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VINF')",2
4723,"('N_NST', 'N_NN', 'N_NN', 'V_VM_VNF', 'RP_RPD')",2
4724,"('N_NN', 'N_NN', 'V_VM_VNF', 'RP_RPD', 'RB')",2
4725,"('DM_DMD', 'N_NN', 'JJ', 'N_NN', 'N_NST')",2
4726,"('N_NN', 'N_NST', 'V_VM_VNF', 'QT_QTF', 'N_NN')",2
4727,"('N_NN', 'N_NN', 'V_VM_VNG', 'PSP', 'DM_DMR')",2
4728,"('PSP', 'DM_DMR', 'N_NN', 'V_VM_VF', 'RD_PUNC')",2
4729,"('RP_NEG', 'RD_PUNC', 'N_NN', 'N_NN', 'RP_NEG')",2
4730,"('RB', 'V_VM_VINF', 'N_NN', 'PR_PRP', 'V_VM_VNF')",2
4731,"('RD_SYM', 'N_NNP', 'N_NN', 'N_NN', 'N_NN')",2
4732,"('N_NN', 'RP_RPD', 'DM_DMD', 'N_NN', 'V_VM_VNF')",2
4733,"('RP_RPD', 'DM_DMD', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4734,"('DM_DMR', 'N_NN', 'RP_RPD', 'N_NN', 'V_VM_VNF')",2
4735,"('N_NN', 'PR_PRP', 'RB', 'N_NN', 'N_NN')",2
4736,"('N_NN', 'V_VM_VNF', 'DM_DMR', 'N_NN', 'V_VM_VINF')",2
4737,"('V_VM_VNF', 'DM_DMR', 'N_NN', 'V_VM_VINF', 'N_NN')",2
4738,"('N_NN', 'N_NN', 'V_VM_VINF', 'N_NN', 'RP_INTF')",2
4739,"('JJ', 'N_NN', 'N_NN', 'V_VM_VNF', 'RP_RPD')",2
4740,"('V_VM_VNF', 'RP_RPD', 'N_NN', 'N_NN', 'RB')",2
4741,"('QT_QTC', 'RP_CL', 'N_NN', 'RD_PUNC', 'N_NN')",2
4742,"('RP_CL', 'N_NN', 'RD_PUNC', 'N_NN', 'N_NN')",2
4743,"('N_NN', 'V_VM_VINF', 'N_NN', 'PSP', 'QT_QTC')",2
4744,"('RD_PUNC', 'N_NN', 'RB', 'N_NN', 'V_VM_VINF')",2
4745,"('N_NN', 'RP_RPD', 'N_NN', 'N_NN', 'PSP')",2
4746,"('RP_RPD', 'N_NN', 'N_NN', 'PSP', 'RD_PUNC')",2
4747,"('DM_DMR', 'RB', 'N_NN', 'N_NN', 'V_VM_VNF')",2
4748,"('PSP', 'DM_DMQ', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4749,"('N_NN', 'V_VM_VNF', 'RB', 'JJ', 'N_NN')",2
4750,"('RB', 'JJ', 'N_NN', 'N_NN', 'RB')",2
4751,"('N_NN', 'V_VM_VNF', 'V_VAUX', 'RP_RPD', 'N_NN')",2
4752,"('N_NNP', 'CC_CCD', 'N_NN', 'N_NN', 'N_NNP')",2
4753,"('N_NN', 'RD_SYM', 'RP_RPD', 'N_NN', 'V_VM_VNF')",2
4754,"('RD_SYM', 'RP_RPD', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4755,"('RD_PUNC', 'DM_DMR', 'JJ', 'N_NN', 'N_NN')",2
4756,"('N_NN', 'CC_CCS', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4757,"('N_NN', 'V_VM_VNF', 'N_NN', 'N_NN', 'CC_CCS_UT')",2
4758,"('V_VM_VNF', 'DM_DMD', 'N_NN', 'N_NN', 'V_VM_VF')",2
4759,"('V_VM_VNF', 'N_NN', 'N_NN', 'N_NN', 'RP_INTF')",2
4760,"('RD_PUNC', 'N_NST', 'V_VM_VNF', 'N_NN', 'N_NN')",2
4761,"('N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VNG', 'V_VM_VF')",2
4762,"('RB', 'V_VM_VNF', 'DM_DMD', 'N_NN', 'V_VM_VNF')",2
4763,"('N_NN', 'N_NN', 'V_VM_VNF', 'N_NST', 'QT_QTC')",2
4764,"('N_NN', 'V_VM_VNG', 'N_NN', 'N_NN', 'JJ')",2
4765,"('V_VM_VNG', 'N_NN', 'N_NN', 'JJ', 'N_NN')",2
4766,"('N_NN', 'JJ', 'N_NN', 'N_NN', 'QT_QTC')",2
4767,"('RB', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VINF')",2
4768,"('N_NST', 'QT_QTC', 'N_NN', 'N_NN', 'V_VM_VF')",2
4769,"('DM_DMQ', 'N_NN', 'DM_DMD', 'N_NN', 'V_VM_VNF')",2
4770,"('DM_DMR', 'N_NN', 'V_VM_VNG', 'N_NN', 'RD_PUNC')",2
4771,"('DM_DMQ', 'QT_QTC', 'N_NN', 'N_NN', 'N_NN')",2
4772,"('N_NN', 'N_NN', 'N_NN', 'N_NST', 'RB')",2
4773,"('N_NN', 'N_NST', 'RB', 'V_VM_VNF', 'N_NN')",2
4774,"('V_VM_VNG', 'RD_PUNC', 'N_NN', 'N_NN', 'JJ')",2
4775,"('N_NN', 'N_NN', 'RP_INTF', 'N_NN', 'RB')",2
4776,"('N_NN', 'RD_PUNC', 'N_NN', 'QT_QTC', 'RB')",2
4777,"('N_NN', 'RB', 'RB', 'N_NN', 'N_NN')",2
4778,"('RD_SYM', 'N_NN', 'N_NN', 'V_VM_VNG', 'RD_PUNC')",2
4779,"('QT_QTC', 'RD_SYM', 'N_NN', 'V_VM_VNG', 'RD_PUNC')",2
4780,"('V_VM_VNF', 'N_NN', 'V_VM_VNF', 'N_NN', 'RP_RPD')",2
4781,"('N_NN', 'V_VM_VNF', 'N_NN', 'RP_RPD', 'QT_QTF')",2
4782,"('N_NN', 'RP_RPD', 'QT_QTF', 'V_VM_VF', 'RD_PUNC')",2
4783,"('N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VNG', 'RD_PUNC')",2
4784,"('N_NN', 'V_VM_VNF', 'V_VM_VNG', 'RD_PUNC', 'PR_PRP')",2
4785,"('QT_QTC', 'RD_SYM', 'PR_PRP', 'N_NN', 'N_NN')",2
4786,"('N_NN', 'V_VM_VNG', 'RD_PUNC', 'PR_PRP', 'N_NN')",2
4787,"('V_VM_VNG', 'RD_PUNC', 'PR_PRP', 'N_NN', 'N_NN')",2
4788,"('QT_QTO', 'N_NN', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4789,"('N_NN', 'V_VM_VNG', 'N_NN', 'RB', 'V_VM_VF')",2
4790,"('V_VM_VNG', 'N_NN', 'RB', 'V_VM_VF', 'RD_PUNC')",2
4791,"('N_NN', 'QT_QTF', 'N_NN', 'N_NN', 'RP_RPD')",2
4792,"('N_NN', 'N_NN', 'N_NN', 'PSP', 'DM_DMD')",2
4793,"('N_NN', 'PSP', 'DM_DMD', 'N_NN', 'N_NN')",2
4794,"('PSP', 'DM_DMD', 'N_NN', 'N_NN', 'V_VM_VF')",2
4795,"('N_NN', 'QT_QTF', 'V_VM_VNF', 'N_NN', 'N_NN')",2
4796,"('RD_PUNC', 'V_VM_VINF', 'N_NN', 'N_NN', 'V_VM_VINF')",2
4797,"('QT_QTC', 'N_NN', 'QT_QTC', 'N_NN', 'V_VM_VINF')",2
4798,"('V_VM_VINF', 'N_NN', 'N_NN', 'RD_PUNC', 'PR_PRP')",2
4799,"('JJ', 'N_NN', 'RB', 'N_NN', 'V_VM_VF')",2
4800,"('N_NST', 'DM_DMD', 'N_NN', 'V_VM_VF', 'RD_PUNC')",2
4801,"('V_VM_VINF', 'N_NN', 'PSP', 'RB', 'N_NN')",2
4802,"('JJ', 'N_NN', 'QT_QTF', 'RP_CL', 'N_NN')",2
4803,"('RP_CL', 'N_NN', 'N_NN', 'N_NN', 'N_NN')",2
4804,"('N_NN', 'N_NN', 'RB', 'V_VM_VNG', 'V_VM_VNF')",2
4805,"('V_VM_VINF', 'RD_PUNC', 'PR_PRP', 'N_NN', 'N_NN')",2
4806,"('V_VM_VNF', 'PR_PRP', 'N_NN', 'DM_DMR', 'N_NN')",2
4807,"('PR_PRP', 'V_VM_VINF', 'N_NN', 'RD_PUNC', 'N_NN')",2
4808,"('N_NN', 'N_NN', 'RB', 'DM_DMR', 'N_NST')",2
4809,"('N_NN', 'RB', 'DM_DMR', 'N_NST', 'RB')",2
4810,"('RB', 'DM_DMR', 'N_NST', 'RB', 'V_VM_VF')",2
4811,"('RD_PUNC', 'JJ', 'N_NN', 'N_NN', 'RB')",2
4812,"('QT_QTC', 'N_NN', 'V_VM_VNG', 'N_NN', 'RD_PUNC')",2
4813,"('RD_PUNC', 'N_NN', 'N_NN', 'RB', 'V_VM_VNG')",2
4814,"('N_NN', 'N_NN', 'RB', 'V_VM_VNG', 'N_NN')",2
4815,"('DM_DMQ', 'N_NN', 'N_NN', 'N_NN', 'RB')",2
4816,"('N_NN', 'N_NN', 'N_NN', 'RB', 'V_VM_VNG')",2
4817,"('N_NN', 'PR_PRP', 'V_VM_VINF', 'N_NN', 'RB')",2
4818,"('PR_PRP', 'V_VM_VINF', 'N_NN', 'RB', 'V_VM_VF')",2
4819,"('N_NN', 'V_VM_VNF', 'V_VM_VNF', 'QT_QTF', 'N_NN')",2
4820,"('V_VM_VNF', 'QT_QTF', 'N_NN', 'RD_PUNC', 'N_NN')",2
4821,"('QT_QTF', 'N_NN', 'RD_PUNC', 'N_NN', 'V_VM_VF')",2
4822,"('RB', 'V_VM_VNF', 'N_NN', 'N_NN', 'DM_DMR')",2
4823,"('QT_QTF', 'N_NN', 'PR_PRP', 'N_NN', 'V_VM_VF')",2
4824,"('V_VM_VNF', 'N_NN', 'QT_QTC', 'N_NN', 'PR_PRP')",2
4825,"('V_VM_VF', 'RD_PUNC', 'N_NNP', 'N_NN', 'V_VM_VF')",2
4826,"('N_NN', 'RB', 'V_VM_VNG', 'V_VM_VF', 'RD_PUNC')",2
4827,"('N_NN', 'N_NN', 'N_NN', 'N_NN', 'CC_CCS')",2
4828,"('RD_PUNC', 'N_NN', 'PSP', 'QT_QTC', 'RD_PUNC')",2
4829,"('PSP', 'QT_QTC', 'RD_PUNC', 'V_VM_VNF', 'N_NN')",2
4830,"('QT_QTC', 'RD_PUNC', 'V_VM_VNF', 'N_NN', 'PSP')",2
4831,"('PR_PRP', 'N_NN', 'N_NN', 'RP_RPD', 'N_NN')",2
4832,"('RD_PUNC', 'N_NNP', 'QT_QTC', 'N_NN', 'N_NN')",2
4833,"('RB', 'V_VM_VINF', 'RB', 'V_VM_VF', 'RD_PUNC')",2
4834,"('N_NN', 'PR_PRP', 'V_VM_VINF', 'N_NN', 'PSP')",2
4835,"('V_VM_VINF', 'N_NN', 'N_NN', 'PSP', 'JJ')",2
4836,"('N_NNP', 'N_NN', 'RD_PUNC', 'RD_PUNC', 'N_NN')",2
4837,"('RD_PUNC', 'N_NN', 'N_NN', 'V_VM_VNG', 'N_NN')",2
4838,"('RD_PUNC', 'N_NN', 'RB', 'V_VM_VNF', 'DM_DMQ')",2
4839,"('RD_PUNC', 'N_NN', 'N_NN', 'DM_DMQ', 'N_NN')",2
4840,"('N_NNP', 'RD_PUNC', 'QT_QTC', 'RD_PUNC', 'RB')",2
4841,"('N_NN', 'PSP', 'CC_CCD', 'JJ', 'N_NN')",2
4842,"('N_NN', 'DM_DMQ', 'N_NN', 'N_NN', 'RD_PUNC')",2
4843,"('DM_DMQ', 'RB', 'N_NN', 'V_VM_VF', 'RD_PUNC')",2
4844,"('N_NN', 'N_NN', 'PSP', 'PR_PRP', 'PSP')",2
4845,"('N_NN', 'PR_PRP', 'PR_PRP', 'V_VM_VF', 'RD_PUNC')",2
4846,"('RD_PUNC', 'N_NN', 'N_NN', 'DM_DMR', 'N_NST')",2
4847,"('V_VM_VNF', 'PR_PRP', 'V_VM_VNF', 'RB', 'V_VM_VNF')",2
4848,"('PR_PRP', 'V_VM_VNF', 'RB', 'V_VM_VNF', 'RD_PUNC')",2
4849,"('RB', 'V_VM_VNF', 'RD_PUNC', 'CC_CCD', 'PR_PRP')",2
4850,"('N_NN', 'PR_PRP', 'N_NN', 'PSP', 'N_NST')",2
4851,"('V_VM_VINF', 'N_NN', 'DM_DMQ', 'V_VM_VF', 'RD_PUNC')",2
4852,"('RB', 'RB', 'N_NN', 'N_NN', 'V_VM_VF')",2
4853,"('RD_SYM', 'N_NN', 'RB', 'V_VM_VNF', 'N_NN')",2
4854,"('V_VM_VNF', 'N_NN', 'N_NN', 'RD_PUNC', 'JJ')",2
4855,"('N_NN', 'RD_PUNC', 'JJ', 'N_NN', 'V_VM_VINF')",2
4856,"('PSP', 'N_NN', 'N_NN', 'V_VM_VNF', 'V_VM_VF')",2
4857,"('V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VNF', 'RD_SYM')",2
4858,"('V_VM_VNF', 'RD_SYM', 'N_NNP', 'N_NN', 'N_NN')",2
4859,"('N_NNP', 'N_NN', 'N_NN', 'RD_SYM', 'RD_PUNC')",2
4860,"('V_VM_VNF', 'N_NN', 'RB', 'RB', 'V_VM_VF')",2
4861,"('JJ', 'N_NN', 'N_NN', 'PR_PRP', 'JJ')",2
4862,"('N_NN', 'V_VM_VNF', 'PR_PRP', 'V_VM_VNF', 'V_VAUX')",2
4863,"('RB', 'V_VM_VNF', 'CC_CCD', 'N_NN', 'N_NN')",2
4864,"('CC_CCD', 'N_NN', 'N_NN', 'N_NN', 'V_VM_VNG')",2
4865,"('QT_QTC', 'N_NN', 'QT_QTF', 'N_NN', 'V_VM_VF')",2
4866,"('N_NN', 'QT_QTC', 'N_NN', 'V_VM_VNF', 'QT_QTF')",2
4867,"('CC_CCD', 'PR_PRP', 'N_NN', 'PR_PRP', 'QT_QTF')",2
4868,"('PR_PRP', 'N_NN', 'PR_PRP', 'QT_QTF', 'N_NN')",2
4869,"('N_NN', 'CC_CCD', 'QT_QTF', 'N_NN', 'V_VM_VNF')",2
4870,"('CC_CCD', 'QT_QTF', 'N_NN', 'V_VM_VNF', 'N_NN')",2
4871,"('QT_QTC', 'RD_PUNC', 'N_NN', 'V_VM_VNF', 'JJ')",2
4872,"('DM_DMR', 'N_NN', 'CC_CCD', 'PR_PRP', 'N_NN')",2
4873,"('PR_PRP', 'N_NN', 'N_NN', 'V_VM_VNF', 'PSP')",2
4874,"('N_NN', 'N_NN', 'V_VM_VNF', 'PSP', 'V_VM_VF')",2
4875,"('N_NN', 'N_NN', 'N_NN', 'RP_RPD', 'DM_DMR')",2
4876,"('N_NN', 'N_NN', 'RP_RPD', 'DM_DMR', 'JJ')",2
4877,"('QT_QTC', 'RD_PUNC', 'DM_DMQ', 'QT_QTC', 'N_NN')",2
4878,"('N_NN', 'PR_PRP', 'N_NST', 'N_NN', 'V_VM_VNF')",2
4879,"('V_VM_VNF', 'DM_DMR', 'JJ', 'N_NN', 'N_NN')",2
4880,"('V_VM_VNF', 'PR_PRP', 'RB', 'N_NN', 'N_NN')",2
4881,"('V_VM_VINF', 'N_NN', 'CC_CCD', 'V_VM_VINF', 'N_NN')",2
4882,"('CC_CCD', 'V_VM_VINF', 'N_NN', 'DM_DMD', 'N_NN')",2
4883,"('QT_QTF', 'N_NN', 'PSP', 'N_NN', 'N_NN')",2
4884,"('N_NN', 'N_NN', 'PR_PRP', 'N_NN', 'RP_RPD')",2
4885,"('N_NN', 'PR_PRP', 'N_NN', 'RP_RPD', 'V_VM_VNF')",2
4886,"('RP_RPD', 'V_VM_VNF', 'N_NN', 'N_NN', 'V_VM_VF')",2
4887,"('RD_PUNC', 'N_NN', 'DM_DMQ', 'QT_QTC', 'N_NN')",2
4888,"('RD_PUNC', 'N_NN', 'PSP', 'N_NN', 'QT_QTF')",2
4889,"('N_NN', 'PSP', 'N_NN', 'V_VM_VINF', 'QT_QTF')",2
4890,"('PSP', 'N_NN', 'V_VM_VINF', 'QT_QTF', 'N_NN')",2
4891,"('N_NN', 'V_VM_VINF', 'QT_QTF', 'N_NN', 'V_VM_VF')",2
4892,"('V_VM_VINF', 'QT_QTF', 'N_NN', 'V_VM_VF', 'RD_PUNC')",2
4893,"('QT_QTF', 'N_NN', 'N_NN', 'CC_CCD', 'N_NN')",2
4894,"('PR_PRP', 'N_NN', 'DM_DMR', 'N_NN', 'V_VM_VNF')",2
4895,"('V_VM_VNF', 'N_NN', 'RP_RPD', 'N_NN', 'V_VM_VF')",2
